"HeaderData - 95965, 12/05/2026, DTP:2.688.1902, Test Cell:6"																																						
NNTI	ZHTIAS	NNTBED	ZLTEST	NTENGM	NSPENG	ZHTMODI	NATSTR1	NNDEV	NAENGR	NNAIS	NNAIL	GQCYL	GHRATE	GLCYLB	GSRATE	GLCYLS	GQEAI	NTASPN	ILHN1_1	ILHN2_1	ILHN3_1	ILHN4_1	GQTC	NTCC	FAFIP@1	MLFIPP	JREFF	GHAUXL	GZFUEL	F2FMU	F5DOIL							
-	-	-	-	-	-	-	-	-	-	-	-	-	kW	mm	rpm	mm	-	-	in	in	in	in	-	-	°BTDC	mm	%	kW	-	kg/L	MJ/kg							
95965		6		Vee Oil Rig	TMD144838		D.JONES	144838	A.ROYSTER	4005447	1	0	15	0	2520	0	0						0															
LineData - 39																																						
ZHDATA4	ZHDATA1	Time Into Sequence	StepNo	LoopNo	LogNo	Type	GS	LTLOP2O	LTLOP1O	LTLOC1I	LTLOC2I	LTLOC1O	LTLOC2O	LTSUMP	LPLOP2I	LPLOP1O	LPLOP2O	LPLOC1I	LPLOC2I	LPLOC1O	LPLOC2O	LPLOP_I	LVPRV1	LVPRV2	LVLRAL	LVRRAL	LVALOC	GHENI	ZHBHRS	VPSET1	VPSET2	VPSET3	VPSET4	GSREF@	VPSET5	VPSET6	VPSET7	LNLOP
-	-	-	-	-	-	-	rpm	°C	°C	°C	°C	°C	°C	°C	kPa	kPa	kPa	kPa	kPa	kPa	kPa	kPa	L/min	L/min	L/min	L/min	L/min	kW	h	%	%	%	%	rpm	%	%	%	No
12/05/2026	15:22:01	000:00:00.1	1	1	1		0	14.7	13.3	13.1	17.7	17.7	17.7	22.5	0	1.4	-1.2	0	0	1.7	-0.1	-1.5	0.1	0.5	1.3	42.7	-150.32	-0.03	319	10	0	10	10	0	0	0	0	8
12/05/2026	15:22:02	000:00:00.1	1	1	2		0	14.7	13.3	13.1	17.7	17.7	17.7	22.5	0	1.1	-1.2	0	0	1.5	0	-1.5	0.1	0.5	1.3	42.7	-150.32	-0.03	319	10	0	10	10	0	0	0	0	8
12/05/2026	15:22:03	000:00:00.1	1	1	3		0	14.7	13.3	13.1	17.7	17.7	17.7	22.5	0	1.1	-1.2	0	0	1.5	0	-1.5	0.1	0.5	1.3	42.7	-150.32	-0.03	319	10	0	10	10	0	0	0	0	8
12/05/2026	15:22:04	000:00:00.1	1	1	4		0	14.8	12.7	17.2	17.2	15.6	17.2	21	0	1.4	-1.3	0	0	1.4	-0.1	-1.6	0.1	0.5	1.3	42.7	-150.32	-0.02	319	10	0	10	10	0	0	0	0	8
12/05/2026	15:22:05	000:00:00.1	1	1	5		0	14.8	12.7	17.2	17.2	15.6	17.2	21	0	1.4	-1.3	0	0	1.4	-0.1	-1.6	0.1	0.5	1.3	42.7	-150.32	-0.02	319	10	0	10	10	0	0	0	0	8
12/05/2026	15:22:06	000:00:00.1	1	1	6		0	14.8	12.7	17.2	17.2	15.6	17.2	21	0	1.4	-1.3	0	0	1.4	-0.1	-1.6	0.1	0.5	1.3	42.7	-150.32	-0.02	319	10	0	10	10	0	0	0	0	8
12/05/2026	15:22:07	000:00:00.1	1	1	7		0	14.8	12.7	17.2	17.2	15.6	17.2	21	0	1.3	-1.2	0	0	1.5	0	-1.6	0.1	0.5	1.3	42.7	-150.32	-0.02	319	10	0	10	10	0	0	0	0	8
12/05/2026	15:22:08	000:00:00.1	1	1	8		0	14.8	12.7	17.2	17.2	15.6	17.2	21	0	1.3	-1.2	0	0	1.5	0	-1.6	0.1	0.5	1.3	42.7	-150.32	-0.03	319	10	0	10	10	0	0	0	0	8
12/05/2026	15:22:09	000:00:00.1	1	1	9		0	14.4	11.9	15.3	17.1	17	17.2	21	0	1.4	-1.2	0	0	1.4	-0.1	-1.6	0.1	0.5	1.3	42.7	-150.32	-0.03	319	10	0	10	10	0	0	0	0	8
12/05/2026	15:22:10	000:00:00.1	1	1	10		0	14.4	11.9	15.3	17.1	17	16.6	21.4	0	1.4	-1.2	0	0	1.4	-0.1	-1.6	0.1	0.5	1.3	42.7	-150.32	-0.03	319	10	0	10	10	0	0	0	0	8
12/05/2026	15:22:11	000:00:00.1	1	1	11		0	14.4	11.9	15.3	17.1	17	16.6	21.4	0	1.2	-1.3	0	0	1.6	0	-1.6	0.1	0.5	1.3	42.7	-150.32	-0.03	319	10	0	10	10	0	0	0	0	8
12/05/2026	15:22:12	000:00:00.1	1	1	12		20	14.6	13	15.3	17.1	16.2	16.6	21.4	0	1.2	-1.3	0	0	1.6	0	-1.6	0.1	0.5	1.3	42.6	-150.32	-0.03	319	10	0	10	10	0	0	0	0	8
12/05/2026	15:22:13	000:00:00.1	1	1	13		24	14.6	13	15.3	17.1	16.2	17.4	18.6	0	1.2	-1.3	0	0	1.6	0	-1.6	0.1	0.5	1.3	42.6	-150.32	-0.02	319	10	0	10	10	0	0	0	0	8
12/05/2026	15:22:14	000:00:00.1	1	1	14		38	14.6	13	15.3	17.1	16.2	17.4	18.6	0	1.2	-1.3	0	0	1.5	-0.1	-1.7	0.1	0.5	1.3	42.7	-150.32	-0.02	319	10	0	10	10	0	0	0	0	8
12/05/2026	15:22:15	000:00:00.1	1	1	15		39	14.6	14.9	15.9	16.7	16.6	17.4	18.6	0	1.2	-1.3	0	0	1.5	-0.1	-1.7	0.1	0.5	1.3	42.7	-150.4	-0.02	319	10	0	10	10	0	0	0	0	8
12/05/2026	15:22:16	000:00:00.1	1	1	16		25	14.6	14.9	15.9	16.7	16.6	18.2	21.3	0	1.5	-1.3	0	0	1.5	-0.1	-1.6	0.2	0.5	1.3	42.6	-150.4	-0.02	319	10	0	10	10	178	0	0	0	8
12/05/2026	15:22:17	000:00:00.1	1	1	17		148	14.6	14.9	15.9	16.7	16.6	18.2	21.3	0	1.5	-1.3	0	0	1.5	-0.1	-1.6	0.2	0.5	1.3	42.6	-150.32	-0.02	319	10	0	10	10	178	0	0	0	8
12/05/2026	15:22:18	000:00:00.1	1	1	18		157	14.6	14.9	15.9	16.7	16.6	18.2	21.3	0	1.8	-0.7	0	0	1.5	0.1	-5.4	0.2	0.5	1.3	42.6	-150.32	-0.02	319	10	0	10	10	178	0	0	0	8
12/05/2026	15:22:19	000:00:00.1	1	1	19		169	14.6	14.9	15.9	16.7	16.6	18.2	21.3	0	1.8	-0.7	0	0	1.5	0.1	-5.4	9.2	0.5	1.3	42.7	-150.32	-0.02	319	10	0	10	10	178	0	0	0	8
12/05/2026	15:22:20	000:00:00.1	1	1	20		169	14.4	13.7	16.5	17.5	16.7	18.2	21.3	0	1.8	-0.7	0	0	1.5	0.1	-5.4	9.2	0.5	1.3	42.7	-150.32	-0.01	319	10	0	10	10	178	0	0	0	8
12/05/2026	15:22:21	000:00:00.1	1	1	21		169	14.4	13.7	16.5	17.5	16.7	17.4	20.4	0	1.7	-0.8	0	0	1.6	-0.1	-6.2	0.1	0.5	1.3	42.6	-150.32	-0.01	319	10	0	10	10	178	0	0	0	8
12/05/2026	15:22:22	000:00:00.1	1	1	22		167	14.4	13.7	16.5	17.5	16.7	17.4	20.4	0	1.7	-0.8	0	0	1.6	-0.1	-6.2	0.1	0.5	1.3	42.6	-150.32	-0.01	319	10	0	10	10	178	0	0	0	8
12/05/2026	15:22:23	000:00:00.1	1	1	23		171	14.5	13.6	15.3	17.5	15.1	17.4	20.4	0	1.6	-1	0	0	1.5	-0.1	-6.1	0.1	0.5	1.3	42.7	-150.32	-0.01	319	10	0	10	10	200	0	0	0	8
12/05/2026	15:22:24	000:00:00.1	1	1	24		190	14.5	13.6	15.3	17.5	15.1	17.5	22.5	0	1.6	-1	0	0	1.5	-0.1	-6.1	0.1	0.5	1.3	42.7	-150.32	-0.01	319	10	0	10	10	200	0	0	0	8
12/05/2026	15:22:25	000:00:00.1	1	1	25		192	14.5	13.6	15.3	17.5	15.1	17.5	22.5	0	1.7	-0.9	0	0	1.8	-0.1	-6.5	0.1	0.5	1.3	42.7	-150.32	-0.01	319	10	0	10	10	250	0	0	0	8
12/05/2026	15:22:26	000:00:00.1	1	1	26		233	14.2	13.1	15.8	17.8	17.1	17.5	22.5	0	1.7	-0.9	0	0	1.8	-0.1	-6.5	0.1	0.5	1.3	42.7	-150.32	-0.01	319	10	0	10	10	250	0	0	0	8
12/05/2026	15:22:27	000:00:00.1	1	1	27		244	14.2	13.1	15.8	17.8	17.1	17.9	20.6	0	1.7	-0.9	0	0	1.8	-0.1	-6.5	0.1	0.5	1.3	42.7	-150.32	0.02	319	10	0	10	10	300	0	0	0	8
12/05/2026	15:22:28	000:00:00.1	1	1	28		295	14.2	13.1	15.8	17.8	17.1	17.9	20.6	0	1.9	-0.6	0	0	1.9	0	-9	9.2	0.5	1.3	42.6	-150.32	0.02	319	10	0	10	10	300	0	0	0	8
12/05/2026	15:22:29	000:00:00.1	1	1	29		297	14.4	13.4	14.3	17.9	17.2	17.9	20.6	0	1.9	-0.6	0	0	1.9	0	-9	9.2	0.5	1.3	42.6	-150.32	0.04	319	10	0	10	10	350	0	0	0	8
12/05/2026	15:22:30	000:00:00.1	1	1	30		344	14.4	13.4	14.3	17.9	17.2	17.9	20.6	0	2.4	-0.3	0	0	2.2	0	-10.4	6.6	0.5	1.3	42.6	-150.32	0.04	319	10	0	10	10	350	0	0	0	8
12/05/2026	15:22:31	000:00:00.1	1	1	31		365	14.4	13.4	14.3	17.9	17.2	17.9	20.6	0	2.4	-0.3	0	0	2.2	0	-10.4	6.6	0.5	1.3	42.6	-150.4	0.04	319	10	0	10	10	400	0	0	0	8
12/05/2026	15:22:32	000:00:00.1	1	1	32		399	14.4	13.4	14.3	17.9	17.2	18.2	18.8	0	2.6	0	0	0	2.2	0.1	-12.6	0.1	0.5	1.3	42.6	-150.4	0.04	319	10	0	10	10	400	0	0	0	8
12/05/2026	15:22:33	000:00:00.1	1	1	33		437	14.4	13.4	14.3	17.9	17.2	18.2	18.8	0	2.6	0	0	0	2.2	0.1	-12.6	0.1	0.5	1.3	42.6	-150.4	0.04	319	10	0	10	10	450	0	0	0	8
12/05/2026	15:22:34	000:00:00.1	1	1	34		441	14.4	13.4	14.3	17.9	17.2	18.2	18.8	0	2.6	0	0	0	2.2	0.1	-12.6	0.1	0.5	1.3	42.6	-150.4	0.08	319	10	0	10	10	450	0	0	0	8
12/05/2026	15:22:35	000:00:00.1	1	1	35		445	14.2	14.7	14	17.5	16	19.8	23	0	3.3	1	0	0.3	2.7	0.8	-15.2	0.1	0.5	1.3	42.6	-150.4	0.08	319	10	0	10	10	500	0	0	0	8
12/05/2026	15:22:36	000:00:00.1	1	1	36		495	14.2	14.7	14	17.5	16	19.8	23	0	3.3	1	0	0.3	2.7	0.8	-15.2	0.1	0.5	1.3	42.6	-150.32	0.08	319	10	0	10	10	500	0	0	0	8
